identifier	universe	class_name	accession	pfam_accession	model_name
confirmatory::Q03333	confirmatory	negative	Q03333	PF00082.27	Peptidase_S8
confirmatory::Q03333	confirmatory	negative	Q03333	PF01483.25	P_proprotein
confirmatory::Q03333	confirmatory	negative	Q03333	PF16470.10	S8_pro-domain
confirmatory::Q03383	confirmatory	negative	Q03383	PF00079.25	Serpin
confirmatory::Q03420	confirmatory	negative	Q03420	PF00082.27	Peptidase_S8
confirmatory::Q03420	confirmatory	negative	Q03420	PF05922.21	Inhibitor_I9
confirmatory::Q03461	confirmatory	negative	Q03461	PF00234.27	Tryp_alpha_amyl
confirmatory::Q03461	confirmatory	negative	Q03461	PF14368.11	LTP_2
confirmatory::Q03649	confirmatory	negative	Q03649	PF00561.25	Abhydrolase_1
confirmatory::Q03649	confirmatory	negative	Q03649	PF12146.13	Hydrolase_4
confirmatory::Q03ME3	confirmatory	negative	Q03ME3	PF00449.25	Urease_alpha
confirmatory::Q03ME3	confirmatory	negative	Q03ME3	PF01979.25	Amidohydro_1
confirmatory::Q03ME5	confirmatory	negative	Q03ME5	PF00547.23	Urease_gamma
confirmatory::Q04119	confirmatory	negative	Q04119	PF00149.33	Metallophos
confirmatory::Q04456	confirmatory	negative	Q04456	PF00135.33	COesterase
confirmatory::Q04456	confirmatory	negative	Q04456	PF07859.18	Abhydrolase_3
confirmatory::Q04456	confirmatory	negative	Q04456	PF20434.3	BD-FAE
confirmatory::Q04457	confirmatory	negative	Q04457	PF00135.33	COesterase
confirmatory::Q04457	confirmatory	negative	Q04457	PF07859.18	Abhydrolase_3
confirmatory::Q04457	confirmatory	negative	Q04457	PF20434.3	BD-FAE
confirmatory::Q04519	confirmatory	negative	Q04519	PF00149.33	Metallophos
confirmatory::Q04519	confirmatory	negative	Q04519	PF19272.4	ASMase_C
confirmatory::Q04623	confirmatory	negative	Q04623	PF00561.25	Abhydrolase_1
confirmatory::Q04749	confirmatory	negative	Q04749	PF00023.35	Ank
confirmatory::Q04749	confirmatory	negative	Q04749	PF00023.35	Ank
confirmatory::Q04749	confirmatory	negative	Q04749	PF00023.35	Ank
confirmatory::Q04749	confirmatory	negative	Q04749	PF12796.12	Ank_2
confirmatory::Q04749	confirmatory	negative	Q04749	PF12796.12	Ank_2
confirmatory::Q04749	confirmatory	negative	Q04749	PF13637.11	Ank_4
confirmatory::Q04749	confirmatory	negative	Q04749	PF13637.11	Ank_4
confirmatory::Q04749	confirmatory	negative	Q04749	PF13637.11	Ank_4
confirmatory::Q05110	confirmatory	negative	Q05110	PF00188.31	CAP
confirmatory::Q05117	confirmatory	negative	Q05117	PF00149.33	Metallophos
confirmatory::Q05332	confirmatory	negative	Q05332	PF00150.23	Cellulase
confirmatory::Q05332	confirmatory	negative	Q05332	PF00404.23	Dockerin_1
confirmatory::Q05487	confirmatory	negative	Q05487	PF00135.33	COesterase
confirmatory::Q05487	confirmatory	negative	Q05487	PF20434.3	BD-FAE
confirmatory::Q05547	confirmatory	negative	Q05547	PF00149.33	Metallophos
confirmatory::Q05547	confirmatory	negative	Q05547	PF16891.10	STPPase_N
confirmatory::Q05681	confirmatory	negative	Q05681	PF00149.33	Metallophos
confirmatory::Q05769	confirmatory	negative	Q05769	PF00008.32	EGF
confirmatory::Q05769	confirmatory	negative	Q05769	PF03098.20	An_peroxidase
confirmatory::Q05772	confirmatory	negative	Q05772	PF00234.27	Tryp_alpha_amyl
confirmatory::Q05816	confirmatory	negative	Q05816	PF00061.28	Lipocalin
confirmatory::Q05921	confirmatory	negative	Q05921	PF00023.35	Ank
confirmatory::Q05921	confirmatory	negative	Q05921	PF00023.35	Ank
confirmatory::Q05921	confirmatory	negative	Q05921	PF00023.35	Ank
confirmatory::Q05921	confirmatory	negative	Q05921	PF00023.35	Ank
confirmatory::Q05921	confirmatory	negative	Q05921	PF00023.35	Ank
confirmatory::Q05921	confirmatory	negative	Q05921	PF00023.35	Ank
confirmatory::Q05921	confirmatory	negative	Q05921	PF00069.30	Pkinase
confirmatory::Q05921	confirmatory	negative	Q05921	PF06479.17	Ribonuc_2-5A
confirmatory::Q05921	confirmatory	negative	Q05921	PF07714.22	PK_Tyr_Ser-Thr
confirmatory::Q05921	confirmatory	negative	Q05921	PF12796.12	Ank_2
confirmatory::Q05921	confirmatory	negative	Q05921	PF12796.12	Ank_2
confirmatory::Q05921	confirmatory	negative	Q05921	PF12796.12	Ank_2
confirmatory::Q05921	confirmatory	negative	Q05921	PF12796.12	Ank_2
confirmatory::Q05921	confirmatory	negative	Q05921	PF13606.11	Ank_3
confirmatory::Q05921	confirmatory	negative	Q05921	PF13637.11	Ank_4
confirmatory::Q05921	confirmatory	negative	Q05921	PF13637.11	Ank_4
confirmatory::Q05921	confirmatory	negative	Q05921	PF13857.11	Ank_5
confirmatory::Q05921	confirmatory	negative	Q05921	PF13857.11	Ank_5
confirmatory::Q05924	confirmatory	negative	Q05924	PF00149.33	Metallophos
confirmatory::Q05AK6	confirmatory	negative	Q05AK6	PF00561.25	Abhydrolase_1
confirmatory::Q05AK6	confirmatory	negative	Q05AK6	PF12146.13	Hydrolase_4
confirmatory::Q05AS3	confirmatory	negative	Q05AS3	PF00004.34	AAA
confirmatory::Q05AS3	confirmatory	negative	Q05AS3	PF09336.15	Vps4_C
confirmatory::Q05AS3	confirmatory	negative	Q05AS3	PF17862.6	AAA_lid_3
confirmatory::Q06000	confirmatory	negative	Q06000	PF00151.24	Lipase
confirmatory::Q06000	confirmatory	negative	Q06000	PF00561.25	Abhydrolase_1
confirmatory::Q06000	confirmatory	negative	Q06000	PF01477.28	PLAT
confirmatory::Q06145	confirmatory	negative	Q06145	PF00123.25	Hormone_2
confirmatory::Q06153	confirmatory	positive	Q06153	PF06766.16	Hydrophobin_2
confirmatory::Q06186	confirmatory	negative	Q06186	PF00008.32	EGF
confirmatory::Q06209	confirmatory	negative	Q06209	PF00182.24	Glyco_hydro_19
confirmatory::Q06209	confirmatory	negative	Q06209	PF00182.24	Glyco_hydro_19
confirmatory::Q06209	confirmatory	negative	Q06209	PF00187.24	Chitin_bind_1
confirmatory::Q06547	confirmatory	negative	Q06547	PF00023.35	Ank
confirmatory::Q06547	confirmatory	negative	Q06547	PF00023.35	Ank
confirmatory::Q06547	confirmatory	negative	Q06547	PF00023.35	Ank
confirmatory::Q06547	confirmatory	negative	Q06547	PF12796.12	Ank_2
confirmatory::Q06547	confirmatory	negative	Q06547	PF12796.12	Ank_2
confirmatory::Q06547	confirmatory	negative	Q06547	PF12796.12	Ank_2
confirmatory::Q06547	confirmatory	negative	Q06547	PF13606.11	Ank_3
confirmatory::Q06547	confirmatory	negative	Q06547	PF13606.11	Ank_3
confirmatory::Q06547	confirmatory	negative	Q06547	PF13637.11	Ank_4
confirmatory::Q06547	confirmatory	negative	Q06547	PF13637.11	Ank_4
confirmatory::Q06547	confirmatory	negative	Q06547	PF13857.11	Ank_5
confirmatory::Q06770	confirmatory	negative	Q06770	PF00079.25	Serpin
confirmatory::Q06K77	confirmatory	positive	Q06K77	PF06079.16	Apyrase
confirmatory::Q06VC5	confirmatory	negative	Q06VC5	PF00045.24	Hemopexin
confirmatory::Q06VC5	confirmatory	negative	Q06VC5	PF00413.29	Peptidase_M10
confirmatory::Q06VC5	confirmatory	negative	Q06VC5	PF10462.14	Peptidase_M66
confirmatory::Q07098	confirmatory	negative	Q07098	PF00149.33	Metallophos
confirmatory::Q07099	confirmatory	negative	Q07099	PF00149.33	Metallophos
confirmatory::Q07100	confirmatory	negative	Q07100	PF00149.33	Metallophos
confirmatory::Q07108	confirmatory	negative	Q07108	PF00059.26	Lectin_C
confirmatory::Q07108	confirmatory	negative	Q07108	PF05473.17	UL45
confirmatory::Q07397	confirmatory	negative	Q07397	PF00449.25	Urease_alpha
confirmatory::Q07397	confirmatory	negative	Q07397	PF01979.25	Amidohydro_1
confirmatory::Q07397	confirmatory	negative	Q07397	PF07969.16	Amidohydro_3
confirmatory::Q07399	confirmatory	negative	Q07399	PF00547.23	Urease_gamma
confirmatory::Q07444	confirmatory	negative	Q07444	PF00059.26	Lectin_C
confirmatory::Q07646	confirmatory	negative	Q07646	PF00561.25	Abhydrolase_1
confirmatory::Q07646	confirmatory	negative	Q07646	PF06342.17	DUF1057
confirmatory::Q07646	confirmatory	negative	Q07646	PF12697.12	Abhydrolase_6
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF00023.35	Ank
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF00023.35	Ank
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF00023.35	Ank
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF00023.35	Ank
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF00536.36	SAM_1
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF07647.23	SAM_2
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF12796.12	Ank_2
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF12796.12	Ank_2
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF12796.12	Ank_2
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF13606.11	Ank_3
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF13637.11	Ank_4
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF13637.11	Ank_4
confirmatory::Q07DV3	confirmatory	negative	Q07DV3	PF13857.11	Ank_5
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF00023.35	Ank
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF00023.35	Ank
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF00023.35	Ank
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF00536.36	SAM_1
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF07647.23	SAM_2
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF12796.12	Ank_2
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF12796.12	Ank_2
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF12796.12	Ank_2
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF13606.11	Ank_3
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF13606.11	Ank_3
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF13606.11	Ank_3
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF13637.11	Ank_4
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF13637.11	Ank_4
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF13857.11	Ank_5
confirmatory::Q07DX6	confirmatory	negative	Q07DX6	PF13857.11	Ank_5
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF00023.35	Ank
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF00023.35	Ank
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF00023.35	Ank
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF00023.35	Ank
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF00536.36	SAM_1
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF07647.23	SAM_2
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF12796.12	Ank_2
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF12796.12	Ank_2
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF12796.12	Ank_2
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF13606.11	Ank_3
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF13606.11	Ank_3
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF13606.11	Ank_3
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF13637.11	Ank_4
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF13857.11	Ank_5
confirmatory::Q07DY6	confirmatory	negative	Q07DY6	PF13857.11	Ank_5
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF00023.35	Ank
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF00023.35	Ank
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF00023.35	Ank
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF00536.36	SAM_1
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF07647.23	SAM_2
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF12796.12	Ank_2
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF12796.12	Ank_2
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF12796.12	Ank_2
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF13606.11	Ank_3
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF13606.11	Ank_3
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF13637.11	Ank_4
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF13637.11	Ank_4
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF13857.11	Ank_5
confirmatory::Q07DZ7	confirmatory	negative	Q07DZ7	PF13857.11	Ank_5
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF00023.35	Ank
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF00023.35	Ank
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF00023.35	Ank
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF00023.35	Ank
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF00536.36	SAM_1
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF07647.23	SAM_2
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF12796.12	Ank_2
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF12796.12	Ank_2
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF12796.12	Ank_2
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF13606.11	Ank_3
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF13606.11	Ank_3
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF13637.11	Ank_4
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF13637.11	Ank_4
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF13857.11	Ank_5
confirmatory::Q07E17	confirmatory	negative	Q07E17	PF13857.11	Ank_5
confirmatory::Q07K70	confirmatory	negative	Q07K70	PF00547.23	Urease_gamma
confirmatory::Q07K73	confirmatory	negative	Q07K73	PF00449.25	Urease_alpha
confirmatory::Q07K73	confirmatory	negative	Q07K73	PF01979.25	Amidohydro_1
confirmatory::Q08209	confirmatory	negative	Q08209	PF00149.33	Metallophos
confirmatory::Q08279	confirmatory	negative	Q08279	PF00049.23	Insulin
confirmatory::Q08279	confirmatory	negative	Q08279	PF00049.23	Insulin
confirmatory::Q08431	confirmatory	negative	Q08431	PF00008.32	EGF
confirmatory::Q08431	confirmatory	negative	Q08431	PF00754.30	F5_F8_type_C
confirmatory::Q08431	confirmatory	negative	Q08431	PF00754.30	F5_F8_type_C
confirmatory::Q08431	confirmatory	negative	Q08431	PF22633.1	F5_F8_type_C_2
confirmatory::Q08431	confirmatory	negative	Q08431	PF22633.1	F5_F8_type_C_2
confirmatory::Q08519	confirmatory	negative	Q08519	PF00079.25	Serpin
confirmatory::Q08652	confirmatory	negative	Q08652	PF00061.28	Lipocalin
confirmatory::Q08652	confirmatory	negative	Q08652	PF14651.11	Lipocalin_7
confirmatory::Q08662	confirmatory	negative	Q08662	PF00135.33	COesterase
confirmatory::Q08662	confirmatory	negative	Q08662	PF07859.18	Abhydrolase_3
confirmatory::Q08662	confirmatory	negative	Q08662	PF20434.3	BD-FAE
confirmatory::Q08697	confirmatory	negative	Q08697	PF00188.31	CAP
confirmatory::Q08716	confirmatory	negative	Q08716	PF00449.25	Urease_alpha
confirmatory::Q08716	confirmatory	negative	Q08716	PF01979.25	Amidohydro_1
confirmatory::Q08716	confirmatory	negative	Q08716	PF07969.16	Amidohydro_3
confirmatory::Q08830	confirmatory	negative	Q08830	PF00147.23	Fibrinogen_C
confirmatory::Q08DW9	confirmatory	negative	Q08DW9	PF00561.25	Abhydrolase_1
confirmatory::Q08DW9	confirmatory	negative	Q08DW9	PF12146.13	Hydrolase_4
confirmatory::Q08DW9	confirmatory	negative	Q08DW9	PF12697.12	Abhydrolase_6
confirmatory::Q09131	confirmatory	negative	Q09131	PF00149.33	Metallophos
confirmatory::Q09131	confirmatory	negative	Q09131	PF14008.11	Metallophos_C
confirmatory::Q09131	confirmatory	negative	Q09131	PF16656.10	Pur_ac_phosph_N
confirmatory::Q09139	confirmatory	negative	Q09139	PF00061.28	Lipocalin
confirmatory::Q09139	confirmatory	negative	Q09139	PF14651.11	Lipocalin_7
confirmatory::Q09169	confirmatory	negative	Q09169	PF00123.25	Hormone_2
confirmatory::Q09169	confirmatory	negative	Q09169	PF00123.25	Hormone_2
confirmatory::Q09175	confirmatory	negative	Q09175	PF00082.27	Peptidase_S8
confirmatory::Q09175	confirmatory	negative	Q09175	PF01483.25	P_proprotein
confirmatory::Q09496	confirmatory	negative	Q09496	PF00149.33	Metallophos
confirmatory::Q09701	confirmatory	negative	Q09701	PF00023.35	Ank
confirmatory::Q09701	confirmatory	negative	Q09701	PF00023.35	Ank
confirmatory::Q09701	confirmatory	negative	Q09701	PF00023.35	Ank
confirmatory::Q09701	confirmatory	negative	Q09701	PF00023.35	Ank
confirmatory::Q09701	confirmatory	negative	Q09701	PF01529.25	DHHC
confirmatory::Q09701	confirmatory	negative	Q09701	PF12796.12	Ank_2
confirmatory::Q09701	confirmatory	negative	Q09701	PF12796.12	Ank_2
confirmatory::Q09701	confirmatory	negative	Q09701	PF12796.12	Ank_2
confirmatory::Q09701	confirmatory	negative	Q09701	PF12796.12	Ank_2
confirmatory::Q09701	confirmatory	negative	Q09701	PF13606.11	Ank_3
confirmatory::Q09701	confirmatory	negative	Q09701	PF13637.11	Ank_4
confirmatory::Q09701	confirmatory	negative	Q09701	PF13637.11	Ank_4
confirmatory::Q09803	confirmatory	negative	Q09803	PF00004.34	AAA
confirmatory::Q09803	confirmatory	negative	Q09803	PF04212.23	MIT
confirmatory::Q09803	confirmatory	negative	Q09803	PF09336.15	Vps4_C
confirmatory::Q09803	confirmatory	negative	Q09803	PF17862.6	AAA_lid_3
confirmatory::Q09843	confirmatory	negative	Q09843	PF00004.34	AAA
confirmatory::Q09843	confirmatory	negative	Q09843	PF08542.16	Rep_fac_C
confirmatory::Q09843	confirmatory	negative	Q09843	PF13177.11	DNA_pol3_delta2
confirmatory::Q09TK7	confirmatory	negative	Q09TK7	PF00050.26	Kazal_1
confirmatory::Q09TK7	confirmatory	negative	Q09TK7	PF07648.20	Kazal_2
confirmatory::Q09TK9	confirmatory	negative	Q09TK9	PF00050.26	Kazal_1
confirmatory::Q09TK9	confirmatory	negative	Q09TK9	PF07648.20	Kazal_2
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF00023.35	Ank
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF00023.35	Ank
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF00023.35	Ank
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF00023.35	Ank
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF07647.23	SAM_2
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF12796.12	Ank_2
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF12796.12	Ank_2
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF12796.12	Ank_2
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF13606.11	Ank_3
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF13637.11	Ank_4
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF13637.11	Ank_4
confirmatory::Q09YH1	confirmatory	negative	Q09YH1	PF13857.11	Ank_5
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF00023.35	Ank
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF00023.35	Ank
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF00023.35	Ank
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF00023.35	Ank
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF07647.23	SAM_2
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF12796.12	Ank_2
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF12796.12	Ank_2
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF13606.11	Ank_3
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF13606.11	Ank_3
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF13637.11	Ank_4
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF13637.11	Ank_4
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF13857.11	Ank_5
confirmatory::Q09YK6	confirmatory	negative	Q09YK6	PF13857.11	Ank_5
confirmatory::Q0BHN3	confirmatory	negative	Q0BHN3	PF00547.23	Urease_gamma
confirmatory::Q0BHN5	confirmatory	negative	Q0BHN5	PF00449.25	Urease_alpha
confirmatory::Q0BHN5	confirmatory	negative	Q0BHN5	PF01979.25	Amidohydro_1
confirmatory::Q0BQ42	confirmatory	negative	Q0BQ42	PF00547.23	Urease_gamma
confirmatory::Q0DN94	confirmatory	negative	Q0DN94	PF00234.27	Tryp_alpha_amyl
confirmatory::Q0E2S4	confirmatory	negative	Q0E2S4	PF00149.33	Metallophos
confirmatory::Q0E587	confirmatory	negative	Q0E587	PF00413.29	Peptidase_M10
confirmatory::Q0E588	confirmatory	negative	Q0E588	PF00135.33	COesterase
confirmatory::Q0E8C8	confirmatory	negative	Q0E8C8	PF00079.25	Serpin
confirmatory::Q0G819	confirmatory	negative	Q0G819	PF00149.33	Metallophos
confirmatory::Q0H8B9	confirmatory	negative	Q0H8B9	PF00059.26	Lectin_C
confirmatory::Q0I656	confirmatory	negative	Q0I656	PF00449.25	Urease_alpha
confirmatory::Q0I656	confirmatory	negative	Q0I656	PF01979.25	Amidohydro_1
confirmatory::Q0I658	confirmatory	negative	Q0I658	PF00547.23	Urease_gamma
confirmatory::Q0IQK9	confirmatory	negative	Q0IQK9	PF00234.27	Tryp_alpha_amyl
confirmatory::Q0IQK9	confirmatory	negative	Q0IQK9	PF14368.11	LTP_2
confirmatory::Q0J0A4	confirmatory	negative	Q0J0A4	PF00561.25	Abhydrolase_1
confirmatory::Q0J0A4	confirmatory	negative	Q0J0A4	PF12146.13	Hydrolase_4
confirmatory::Q0J0A4	confirmatory	negative	Q0J0A4	PF12697.12	Abhydrolase_6
confirmatory::Q0JJ01	confirmatory	negative	Q0JJ01	PF00023.35	Ank
confirmatory::Q0JJ01	confirmatory	negative	Q0JJ01	PF00023.35	Ank
confirmatory::Q0JJ01	confirmatory	negative	Q0JJ01	PF11900.13	DUF3420
confirmatory::Q0JJ01	confirmatory	negative	Q0JJ01	PF12313.13	NPR1_like_C
confirmatory::Q0JJ01	confirmatory	negative	Q0JJ01	PF12796.12	Ank_2
confirmatory::Q0KCP6	confirmatory	negative	Q0KCP6	PF00449.25	Urease_alpha
confirmatory::Q0KCP6	confirmatory	negative	Q0KCP6	PF01979.25	Amidohydro_1
confirmatory::Q0P4P2	confirmatory	negative	Q0P4P2	PF00147.23	Fibrinogen_C
confirmatory::Q0RQR8	confirmatory	negative	Q0RQR8	PF00547.23	Urease_gamma
confirmatory::Q0S4S7	confirmatory	negative	Q0S4S7	PF00449.25	Urease_alpha
confirmatory::Q0S4S7	confirmatory	negative	Q0S4S7	PF01979.25	Amidohydro_1
confirmatory::Q0S4S7	confirmatory	negative	Q0S4S7	PF07969.16	Amidohydro_3
confirmatory::Q0S4S9	confirmatory	negative	Q0S4S9	PF00547.23	Urease_gamma
confirmatory::Q0TC55	confirmatory	negative	Q0TC55	PF00561.25	Abhydrolase_1
confirmatory::Q0TC55	confirmatory	negative	Q0TC55	PF12146.13	Hydrolase_4
confirmatory::Q0TC55	confirmatory	negative	Q0TC55	PF12697.12	Abhydrolase_6
confirmatory::Q0V8B6	confirmatory	negative	Q0V8B6	PF00082.27	Peptidase_S8
confirmatory::Q0V8B6	confirmatory	negative	Q0V8B6	PF09286.16	Pro-kuma_activ
confirmatory::Q0V9K2	confirmatory	negative	Q0V9K2	PF00561.25	Abhydrolase_1
confirmatory::Q0V9K2	confirmatory	negative	Q0V9K2	PF00975.25	Thioesterase
confirmatory::Q0V9K2	confirmatory	negative	Q0V9K2	PF05057.19	DUF676
confirmatory::Q0V9K2	confirmatory	negative	Q0V9K2	PF12146.13	Hydrolase_4
confirmatory::Q0V9K2	confirmatory	negative	Q0V9K2	PF12697.12	Abhydrolase_6
confirmatory::Q0VC00	confirmatory	negative	Q0VC00	PF00561.25	Abhydrolase_1
confirmatory::Q0VD19	confirmatory	negative	Q0VD19	PF00149.33	Metallophos
confirmatory::Q0VD19	confirmatory	negative	Q0VD19	PF19272.4	ASMase_C
confirmatory::Q0VIL3	confirmatory	negative	Q0VIL3	PF00405.22	Transferrin
confirmatory::Q0VKX9	confirmatory	negative	Q0VKX9	PF00547.23	Urease_gamma
confirmatory::Q0VKY1	confirmatory	negative	Q0VKY1	PF00449.25	Urease_alpha
confirmatory::Q0VKY1	confirmatory	negative	Q0VKY1	PF01979.25	Amidohydro_1
confirmatory::Q0WNE5	confirmatory	negative	Q0WNE5	PF00197.23	Kunitz_legume
confirmatory::Q10738	confirmatory	negative	Q10738	PF00413.29	Peptidase_M10
confirmatory::Q10738	confirmatory	negative	Q10738	PF01471.23	PG_binding_1
confirmatory::Q10739	confirmatory	negative	Q10739	PF00045.24	Hemopexin
confirmatory::Q10739	confirmatory	negative	Q10739	PF00045.24	Hemopexin
confirmatory::Q10739	confirmatory	negative	Q10739	PF00045.24	Hemopexin
confirmatory::Q10739	confirmatory	negative	Q10739	PF00045.24	Hemopexin
confirmatory::Q10739	confirmatory	negative	Q10739	PF00413.29	Peptidase_M10
confirmatory::Q10739	confirmatory	negative	Q10739	PF01471.23	PG_binding_1
confirmatory::Q10739	confirmatory	negative	Q10739	PF11857.13	DUF3377
confirmatory::Q10835	confirmatory	negative	Q10835	PF00045.24	Hemopexin
confirmatory::Q10835	confirmatory	negative	Q10835	PF00045.24	Hemopexin
confirmatory::Q10835	confirmatory	negative	Q10835	PF00045.24	Hemopexin
confirmatory::Q10835	confirmatory	negative	Q10835	PF00045.24	Hemopexin
confirmatory::Q10835	confirmatory	negative	Q10835	PF00413.29	Peptidase_M10
confirmatory::Q10835	confirmatory	negative	Q10835	PF01471.23	PG_binding_1
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF00023.35	Ank
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF00023.35	Ank
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF00023.35	Ank
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF00023.35	Ank
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF07647.23	SAM_2
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF12796.12	Ank_2
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF12796.12	Ank_2
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF12796.12	Ank_2
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF13606.11	Ank_3
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF13606.11	Ank_3
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF13637.11	Ank_4
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF13637.11	Ank_4
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF13857.11	Ank_5
confirmatory::Q108U1	confirmatory	negative	Q108U1	PF13857.11	Ank_5
confirmatory::Q10916	confirmatory	negative	Q10916	PF00149.33	Metallophos
